Дисциплина;Курс;Семестр;КодКомпетенции;Компетенция;Тип_Компетенции;Название;УчебныйГод;Код_Студента;Оценка;Описание;ДиффенцированныйЗачет
PR и реклама в бизнесе;3;5;252913;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2022-2023;69659;Не изуч.;Экзамен;1
PR и реклама в бизнесе;3;5;252914;Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений УК-2;УК;404а;2022-2023;69659;Не изуч.;Экзамен;1
Администрирование баз данных;3;6;252929;"Способность к анализу требований и разработке вариантов реализации информационной системы; способность к оценке качества, надежности и эффективности информационной системы в конкретной профессиональной сфере ПК-5";ПК;404а;2022-2023;69659;Хор;Экзамен;1
Администрирование компьютерных сетей;4;8;265823;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2023-2024;69659;Удовл;Экзамен;1
Алгебра;1;1;198585;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2020-2021;69659;Удовл;Экзамен;1
Алгебра;1;1;198593;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2020-2021;69659;Удовл;Экзамен;1
Алгебра;1;1;198598;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2020-2021;69659;Удовл;Экзамен;1
Алгебра;1;1;198600;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2020-2021;69659;Удовл;Экзамен;1
Алгебра;1;2;198585;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2020-2021;69659;Удовл;Экзамен;1
Алгебра;1;2;198593;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2020-2021;69659;Удовл;Экзамен;1
Алгебра;1;2;198598;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2020-2021;69659;Удовл;Экзамен;1
Алгебра;1;2;198600;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2020-2021;69659;Удовл;Экзамен;1
Аналитическая геометрия;1;1;198585;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2020-2021;69659;Зачет;Зачет;0
Аналитическая геометрия;1;1;198593;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2020-2021;69659;Зачет;Зачет;0
Аналитическая геометрия;1;1;198598;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2020-2021;69659;Зачет;Зачет;0
Аналитическая геометрия;1;1;198600;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2020-2021;69659;Зачет;Зачет;0
Архитектура вычислительных систем;1;2;198593;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2020-2021;69659;Зачет;Зачет;0
Архитектура вычислительных систем;1;2;198594;Способен применять компьютерные/суперкомпьютерные методы, современное программное обеспечение, в том числе отечественного происхождения, для решения задач профессиональной деятельности ОПК-2;ОПК;404а;2020-2021;69659;Зачет;Зачет;0
Архитектура вычислительных систем;1;2;198600;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2020-2021;69659;Зачет;Зачет;0
Базы данных;2;4;212701;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2021-2022;69659;Зачет;Зачет;0
Базы данных;3;5;252913;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2022-2023;69659;Удовл;Экзамен;1
Безопасность жизнедеятельности;1;2;198592;Способен создавать и поддерживать безопасные условия жизнедеятельности, в том числе при возникновении чрезвычайных ситуаций УК-8;УК;404а;2020-2021;69659;Зачет;Зачет;0
Бизнес-модели социального предпринимательства;4;8;265808;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2023-2024;69659;Не изуч.;Экзамен;1
Бизнес-модели социального предпринимательства;4;8;265809;Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений УК-2;УК;404а;2023-2024;69659;Не изуч.;Экзамен;1
Бухгалтерские программные технологии;4;7;265823;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2023-2024;69659;Отл;Экзамен;1
Введение в профессию (адаптивная дисциплина для лиц с ограниченными возможностями здоровья);1;1;198589;Способен воспринимать межкультурное разнообразие общества в социально-историческом, этическом и философском контекстах УК-5;УК;404а;2020-2021;69659;Не изуч.;Зачет;0
Введение в численные методы;2;4;212701;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2021-2022;69659;Зачет;Зачет;0
Введение в численные методы;2;4;212709;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2021-2022;69659;Зачет;Зачет;0
Введение в численные методы;2;4;212714;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2021-2022;69659;Зачет;Зачет;0
Введение в численные методы;2;4;212716;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2021-2022;69659;Зачет;Зачет;0
Визуализация научных исследований;4;7;265823;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2023-2024;69659;Не изуч.;Зачет;0
Дискретная математика и математическая логика;2;3;212701;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2021-2022;69659;Зачет;Зачет;0
Дискретная математика и математическая логика;2;3;212709;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2021-2022;69659;Зачет;Зачет;0
Дискретная математика и математическая логика;2;3;212714;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2021-2022;69659;Зачет;Зачет;0
Дискретная математика и математическая логика;2;4;212701;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2021-2022;69659;Удовл;Экзамен;1
Дискретная математика и математическая логика;2;4;212709;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2021-2022;69659;Удовл;Экзамен;1
Дискретная математика и математическая логика;2;4;212714;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2021-2022;69659;Удовл;Экзамен;1
Дифференциальные уравнения;2;3;212701;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2021-2022;69659;Зачет;Зачет;0
Дифференциальные уравнения;2;3;212709;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2021-2022;69659;Зачет;Зачет;0
Дифференциальные уравнения;2;3;212714;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2021-2022;69659;Зачет;Зачет;0
Дифференциальные уравнения;2;4;212701;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2021-2022;69659;Удовл;Экзамен;1
