Группа;Курс;Семестр;Код;Преподаватель;Дисциплина;ВидЗанятий;ВсегоЗанятийПоЖурналу;ПропусковНеуважитПрич
2.210-1;3;2;916262;Коновалова Л.Г.;Административное право;Пр  ;8;0
2.210-1;3;2;916262;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;916264;Коновалова Л.Г.;Административное право;Пр  ;8;0
2.210-1;3;2;916264;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;921116;Коновалова Л.Г.;Административное право;Пр  ;8;0
2.210-1;3;2;921116;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;945996;Коновалова Л.Г.;Административное право;Пр  ;8;0
2.210-1;3;2;945996;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;921118;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;921118;Коновалова Л.Г.;Административное право;Пр  ;8;0
2.210-1;3;2;915892;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;915892;Коновалова Л.Г.;Административное право;Пр  ;8;4
2.210-1;3;2;916015;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;916015;Коновалова Л.Г.;Административное право;Пр  ;8;0
2.210-1;3;2;921129;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;921129;Коновалова Л.Г.;Административное право;Пр  ;8;0
2.210-1;3;2;915859;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;915859;Коновалова Л.Г.;Административное право;Пр  ;8;0
2.210-1;3;2;916016;Коновалова Л.Г.;Административное право;Пр  ;8;0
2.210-1;3;2;916016;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;921131;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;921131;Коновалова Л.Г.;Административное право;Пр  ;8;0
2.210-1;3;2;915900;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;915900;Коновалова Л.Г.;Административное право;Пр  ;8;0
2.210-1;3;2;916267;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;916267;Коновалова Л.Г.;Административное право;Пр  ;8;8
2.210-1;3;2;916017;Коновалова Л.Г.;Административное право;Пр  ;8;0
2.210-1;3;2;916017;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;916018;Коновалова Л.Г.;Административное право;Пр  ;8;0
2.210-1;3;2;916018;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;2;915888;Коновалова Л.Г.;Административное право;Пр  ;8;0
2.210-1;3;2;915888;Коновалова Л.Г.;Административное право;Лек ;16;0
2.210-1;3;1;916262;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;0
2.210-1;3;1;916262;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;0
2.210-1;3;1;916264;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;0
2.210-1;3;1;916264;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;0
2.210-1;3;1;921116;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;0
2.210-1;3;1;921116;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;0
2.210-1;3;1;945996;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;0
2.210-1;3;1;945996;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;0
2.210-1;3;1;921118;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;4
2.210-1;3;1;921118;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;2
2.210-1;3;1;915892;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;14
2.210-1;3;1;915892;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;7
2.210-1;3;1;916015;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;2
2.210-1;3;1;916015;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;2
2.210-1;3;1;921129;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;0
2.210-1;3;1;921129;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;0
2.210-1;3;1;915859;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;2
2.210-1;3;1;915859;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;0
2.210-1;3;1;916016;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;0
2.210-1;3;1;916016;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;0
2.210-1;3;1;921131;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;0
2.210-1;3;1;921131;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;0
2.210-1;3;1;915900;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;0
2.210-1;3;1;915900;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;0
2.210-1;3;1;916267;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;2
2.210-1;3;1;916267;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;0
2.210-1;3;1;916017;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;0
2.210-1;3;1;916017;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;0
2.210-1;3;1;916018;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;0
2.210-1;3;1;916018;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;0
2.210-1;3;1;915888;Герман О.И.;Бухгалтерские информационные системы;Лек ;20;12
2.210-1;3;1;915888;Герман О.И.;Бухгалтерские информационные системы;Лаб ;36;7
2.210-1;3;1;916262;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Пр  ;26;5
2.210-1;3;1;916262;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Лек ;16;4
2.210-1;3;1;916264;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Лек ;16;0
2.210-1;3;1;916264;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Пр  ;26;4
2.210-1;3;1;921116;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Лек ;16;2
2.210-1;3;1;921116;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Пр  ;26;4
2.210-1;3;1;945996;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Пр  ;26;9
2.210-1;3;1;945996;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Лек ;16;6
2.210-1;3;1;921118;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Лек ;16;6
2.210-1;3;1;921118;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Пр  ;26;15
2.210-1;3;1;915892;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Лек ;16;6
2.210-1;3;1;915892;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Пр  ;26;9
2.210-1;3;1;916015;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Лек ;16;4
2.210-1;3;1;916015;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Пр  ;26;5
2.210-1;3;1;921129;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Лек ;16;0
2.210-1;3;1;921129;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Пр  ;26;0
2.210-1;3;1;915859;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Лек ;16;0
2.210-1;3;1;915859;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Пр  ;26;5
2.210-1;3;1;916016;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Лек ;16;2
2.210-1;3;1;916016;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Пр  ;26;1
2.210-1;3;1;921131;Рудакова Т.А.;Бухгалтерский учет в организациях госсектора;Пр  ;26;4
